id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transfer_record,foreigners,season,market_value,league_id
631,Chelsea FC,,,13840000.0,,40,24.7,,,31,2015,€13.84m,premier-league
281,Manchester City,,,13140000.0,,38,25.4,,,27,2015,€13.14m,premier-league
11,Arsenal FC,,,11170000.0,,41,24.7,,,29,2015,€11.17m,premier-league
985,Manchester United,,,10000000.0,,44,23.5,,,26,2015,€10.00m,premier-league
31,Liverpool FC,,,8530000.0,,44,23.4,,,27,2015,€8.53m,premier-league
148,Tottenham Hotspur,,,12000000.0,,31,23.7,,,16,2015,€12.00m,premier-league
29,Everton FC,,,6410000.0,,39,25.7,,,21,2015,€6.41m,premier-league
180,Southampton FC,,,6440000.0,,35,25.0,,,20,2015,€6.44m,premier-league
379,West Ham United,,,4030000.0000000005,,50,24.2,,,28,2015,€4.03m,premier-league
762,Newcastle United,,,4710000.0,,42,24.5,,,27,2015,€4.71m,premier-league
1003,Leicester City,,,4600000.0,,35,26.9,,,20,2015,€4.60m,premier-league
512,Stoke City,,,4740000.0,,31,27.3,,,24,2015,€4.74m,premier-league
2288,Swansea City,,,4050000.0,,36,25.8,,,27,2015,€4.05m,premier-league
1010,Watford FC,,,3510000.0,,39,27.4,,,35,2015,€3.51m,premier-league
873,Crystal Palace,,,3570000.0,,38,26.6,,,20,2015,€3.57m,premier-league
405,Aston Villa,,,2680000.0,,44,24.5,,,24,2015,€2.68m,premier-league
1123,Norwich City,,,2850000.0,,41,26.6,,,22,2015,€2.85m,premier-league
984,West Bromwich Albion,,,3230000.0,,35,26.4,,,22,2015,€3.23m,premier-league
289,Sunderland AFC,,,2650000.0,,42,26.5,,,27,2015,€2.65m,premier-league
989,AFC Bournemouth,,,2040000.0,,49,25.1,,,22,2015,€2.04m,premier-league
1132,Burnley FC,,,5640000.0,,30,27.8,,,16,2017,€5.64m,premier-league
1237,Brighton & Hove Albion,,,3800000.0,,39,26.7,,,27,2017,€3.80m,premier-league
1110,Huddersfield Town,,,3030000.0,,35,25.6,,,19,2017,€3.03m,premier-league
131,FC Barcelona,,,34190000.0,,32,26.3,,,17,2017,€34.19m,laliga
418,Real Madrid,,,29850000.0,,32,24.5,,,15,2017,€29.85m,laliga
13,Atlético de Madrid,,,19750000.0,,36,25.4,,,20,2017,€19.75m,laliga
1049,Valencia CF,,,13270000.0,,30,24.3,,,14,2017,€13.27m,laliga
368,Sevilla FC,,,7670000.0,,33,26.5,,,20,2017,€7.67m,laliga
621,Athletic Bilbao,,,7560000.0,,33,25.9,,,1,2017,€7.56m,laliga
681,Real Sociedad,,,8029999.999999999,,29,26.3,,,6,2017,€8.03m,laliga
1050,Villarreal CF,,,5500000.0,,40,25.4,,,15,2017,€5.50m,laliga
940,Celta de Vigo,,,5410000.0,,32,24.5,,,16,2017,€5.41m,laliga
150,Real Betis Balompié,,,4270000.0,,31,25.9,,,11,2017,€4.27m,laliga
714,RCD Espanyol Barcelona,,,3370000.0,,29,27.3,,,7,2017,€3.37m,laliga
472,UD Las Palmas,,,2400000.0,,38,26.9,,,15,2017,€2.40m,laliga
12321,Girona FC,,,2730000.0,,30,25.4,,,14,2017,€2.73m,laliga
1108,Deportivo Alavés,,,2270000.0,,33,25.1,,,12,2017,€2.27m,laliga
897,Deportivo de La Coruña,,,1850000.0,,36,26.8,,,18,2017,€1.85m,laliga
3709,Getafe CF,,,1820000.0,,36,26.6,,,18,2017,€1.82m,laliga
3368,Levante UD,,,1670000.0,,37,25.2,,,15,2017,€1.67m,laliga
1533,SD Eibar,,,1820000.0,,33,26.8,,,9,2017,€1.82m,laliga
1244,CD Leganés,,,1720000.0,,34,26.8,,,15,2017,€1.72m,laliga
1084,Málaga CF,,,1380000.0,,40,25.8,,,17,2017,€1.38m,laliga
583,Paris Saint-Germain,,,19630000.0,,41,24.2,,,29,2020,€19.63m,ligue-1
1041,Olympique Lyon,,,10780000.0,,40,24.2,,,29,2020,€10.78m,ligue-1
162,AS Monaco,,,11220000.0,,33,24.0,,,18,2020,€11.22m,ligue-1
1082,LOSC Lille,,,10100000.0,,32,23.6,,,23,2020,€10.10m,ligue-1
273,Stade Rennais FC,,,8039999.999999999,,37,24.2,,,12,2020,€8.04m,ligue-1
244,Olympique Marseille,,,6700000.0,,37,24.9,,,19,2020,€6.70m,ligue-1
417,OGC Nice,,,5760000.0,,41,22.4,,,16,2020,€5.76m,ligue-1
618,AS Saint-Étienne,,,3590000.0,,43,23.6,,,17,2020,€3.59m,ligue-1
969,Montpellier HSC,,,3350000.0,,34,25.2,,,13,2020,€3.35m,ligue-1
1420,Angers SCO,,,2940000.0,,38,25.8,,,18,2020,€2.94m,ligue-1
667,RC Strasbourg Alsace,,,3230000.0,,34,25.2,,,18,2020,€3.23m,ligue-1
40,FC Girondins Bordeaux,,,2940000.0,,36,25.4,,,19,2020,€2.94m,ligue-1
1421,Stade Reims,,,3090000.0,,34,23.1,,,25,2020,€3.09m,ligue-1
826,RC Lens,,,2900000.0,,36,24.9,,,16,2020,€2.90m,ligue-1
347,FC Metz,,,2960000.0,,35,24.6,,,25,2020,€2.96m,ligue-1
3911,Stade Brestois 29,,,3230000.0,,32,25.2,,,9,2020,€3.23m,ligue-1
995,FC Nantes,,,2960000.0,,32,25.4,,,15,2020,€2.96m,ligue-1
1158,FC Lorient,,,2140000.0,,34,26.4,,,13,2020,€2.14m,ligue-1
2969,Dijon FCO,,,1770000.0,,37,24.3,,,24,2020,€1.77m,ligue-1
1160,Nîmes Olympique,,,1680000.0,,36,24.9,,,19,2020,€1.68m,ligue-1
366,Real Valladolid CF,,,2370000.0,,37,25.6,,,9,2019,€2.37m,laliga
237,RCD Mallorca,,,1850000.0,,35,26.4,,,15,2019,€1.85m,laliga
331,CA Osasuna,,,1700000.0,,37,26.4,,,4,2019,€1.70m,laliga
16795,Granada CF,,,1660000.0,,34,25.9,,,13,2019,€1.66m,laliga
27,Bayern Munich,,,21360000.0,,38,24.7,,,19,2017,€21.36m,bundesliga
16,Borussia Dortmund,,,16410000.0,,35,25.0,,,19,2017,€16.41m,bundesliga
23826,RB Leipzig,,,13330000.0,,28,24.1,,,19,2017,€13.33m,bundesliga
15,Bayer 04 Leverkusen,,,13240000.0,,27,25.3,,,14,2017,€13.24m,bundesliga
33,FC Schalke 04,,,9460000.0,,29,25.5,,,18,2017,€9.46m,bundesliga
533,TSG 1899 Hoffenheim,,,5910000.0,,36,24.1,,,13,2017,€5.91m,bundesliga
18,Borussia Mönchengladbach,,,5520000.0,,35,24.6,,,19,2017,€5.52m,bundesliga
82,VfL Wolfsburg,,,4350000.0,,33,24.3,,,19,2017,€4.35m,bundesliga
79,VfB Stuttgart,,,3960000.0,,34,24.7,,,17,2017,€3.96m,bundesliga
44,Hertha BSC,,,4110000.0000000005,,32,24.9,,,15,2017,€4.11m,bundesliga
24,Eintracht Frankfurt,,,3500000.0,,36,25.0,,,23,2017,€3.50m,bundesliga
86,SV Werder Bremen,,,3250000.0,,33,25.6,,,19,2017,€3.25m,bundesliga
60,SC Freiburg,,,2790000.0,,36,25.5,,,14,2017,€2.79m,bundesliga
167,FC Augsburg,,,3040000.0,,33,25.6,,,17,2017,€3.04m,bundesliga
39,1.FSV Mainz 05,,,2980000.0,,33,25.3,,,19,2017,€2.98m,bundesliga
42,Hannover 96,,,3100000.0,,30,25.9,,,12,2017,€3.10m,bundesliga
3,1.FC Köln,,,2410000.0,,38,24.5,,,19,2017,€2.41m,bundesliga
41,Hamburger SV,,,1840000.0,,34,24.5,,,17,2017,€1.84m,bundesliga
2448,Sporting Gijón,,,1830000.0,,29,24.7,,,7,2015,€1.83m,laliga
367,Rayo Vallecano,,,1420000.0,,35,28.0,,,13,2015,€1.42m,laliga
89,1.FC Union Berlin,,,2900000.0,,40,26.6,,,15,2021,€2.90m,bundesliga
10,Arminia Bielefeld,,,1940000.0,,34,24.6,,,20,2021,€1.94m,bundesliga
80,VfL Bochum,,,1580000.0,,33,27.3,,,15,2021,€1.58m,bundesliga
65,SpVgg Greuther Fürth,,,1090000.0,,34,24.6,,,15,2021,€1.09m,bundesliga
38,Fortuna Düsseldorf,,,2790000.0,,34,26.3,,,17,2018,€2.79m,bundesliga
4,1.FC Nuremberg,,,1880000.0,,29,25.2,,,12,2018,€1.88m,bundesliga
543,Wolverhampton Wanderers,,,9920000.0,,38,24.4,,,30,2021,€9.92m,premier-league
399,Leeds United,,,8560000.0,,35,23.5,,,19,2021,€8.56m,premier-league
1148,Brentford FC,,,7190000.0,,38,24.3,,,26,2021,€7.19m,premier-league
415,FC Toulouse,,,3940000.0,,28,24.5,,,14,2017,€3.94m,ligue-1
1416,Amiens SC,,,2049999.9999999998,,34,27.3,,,19,2017,€2.05m,ligue-1
1162,SM Caen,,,1820000.0,,33,25.8,,,17,2017,€1.82m,ligue-1
855,EA Guingamp,,,1730000.0,,30,26.7,,,13,2017,€1.73m,ligue-1
1095,ESTAC Troyes,,,1500000.0,,30,26.0,,,16,2017,€1.50m,ligue-1
595,SC Bastia,,,985000.0,,37,25.1,,,19,2016,€985k,ligue-1
1159,AS Nancy-Lorraine,,,1100000.0,,30,26.1,,,15,2016,€1.10m,ligue-1
3558,GFC Ajaccio,,,613000.0,,30,25.8,,,12,2015,€613k,ligue-1
4795,FC Ingolstadt 04,,,1230000.0,,29,25.2,,,16,2015,€1.23m,bundesliga
105,SV Darmstadt 98,,,838000.0,,30,27.3,,,8,2015,€838k,bundesliga
350,Sheffield United,,,4080000.0,,34,27.3,,,16,2019,€4.08m,premier-league
3008,Hull City,,,3230000.0,,42,26.0,,,23,2016,€3.23m,premier-league
641,Middlesbrough FC,,,3680000.0,,35,27.3,,,21,2016,€3.68m,premier-league
931,Fulham FC,,,7700000.0,,33,25.7,,,26,2018,€7.70m,premier-league
603,Cardiff City,,,3230000.0,,35,27.3,,,20,2018,€3.23m,premier-league
506,Juventus FC,,,14760000.0,,59,25.0,,,25,2018,€14.76m,serie-a
6195,SSC Napoli,,,11980000.0,,54,24.3,,,27,2018,€11.98m,serie-a
46,Inter Milan,,,10300000.0,,60,24.0,,,30,2018,€10.30m,serie-a
5,AC Milan,,,12860000.0,,45,24.4,,,22,2018,€12.86m,serie-a
12,AS Roma,,,8050000.000000001,,57,23.7,,,27,2018,€8.05m,serie-a
800,Atalanta BC,,,4179999.9999999995,,88,22.7,,,29,2018,€4.18m,serie-a
430,ACF Fiorentina,,,5630000.0,,56,22.9,,,36,2018,€5.63m,serie-a
398,SS Lazio,,,5110000.0,,57,24.4,,,33,2018,€5.11m,serie-a
6574,US Sassuolo,,,4099999.9999999995,,59,23.8,,,15,2018,€4.10m,serie-a
416,Torino FC,,,3860000.0,,62,23.7,,,29,2018,€3.86m,serie-a
1038,UC Sampdoria,,,3670000.0,,59,23.5,,,30,2018,€3.67m,serie-a
410,Udinese Calcio,,,3590000.0,,56,24.7,,,41,2018,€3.59m,serie-a
252,Genoa CFC,,,2780000.0,,69,23.8,,,35,2018,€2.78m,serie-a
1390,Cagliari Calcio,,,3170000.0,,49,25.9,,,18,2018,€3.17m,serie-a
1025,Bologna FC 1909,,,2490000.0,,48,25.0,,,28,2018,€2.49m,serie-a
749,Empoli FC,,,1790000.0,,59,24.1,,,24,2018,€1.79m,serie-a
2722,SPAL,,,1910000.0,,51,25.3,,,20,2018,€1.91m,serie-a
130,Parma Calcio 1913,,,1370000.0,,70,25.6,,,19,2018,€1.37m,serie-a
862,Chievo Verona,,,804000.0,,68,24.7,,,32,2018,€804k,serie-a
8970,Frosinone Calcio,,,1240000.0,,44,25.8,,,10,2018,€1.24m,serie-a
1531,Elche CF,,,1970000.0,,37,27.4,,,13,2021,€1.97m,laliga
2687,Cádiz CF,,,1830000.0,,37,27.3,,,14,2021,€1.83m,laliga
458,US Palermo,,,1720000.0,,40,24.5,,,21,2015,€1.72m,serie-a
4102,Carpi FC 1909,,,1270000.0,,41,25.9,,,18,2015,€1.27m,serie-a
276,Hellas Verona,,,1140000.0,,42,25.9,,,20,2015,€1.14m,serie-a
127,SC Paderborn 07,,,903000.0,,32,25.3,,,15,2019,€903k,bundesliga
2921,Delfino Pescara 1936,,,962000.0,,50,24.7,,,19,2016,€962k,serie-a
4083,FC Crotone,,,992000.0,,37,25.0,,,12,2016,€992k,serie-a
3524,Clermont Foot 63,,,1410000.0,,39,25.1,,,22,2021,€1.41m,ligue-1
5358,SD Huesca,,,1890000.0,,34,26.5,,,8,2020,€1.89m,laliga
607,Venezia FC,,,1590000.0,,51,24.7,,,35,2021,€1.59m,serie-a
3522,Spezia Calcio,,,2310000.0,,34,23.6,,,23,2021,€2.31m,serie-a
380,US Salernitana 1919,,,1380000.0,,51,25.9,,,26,2021,€1.38m,serie-a
4171,Benevento Calcio,,,1200000.0,,48,25.1,,,21,2017,€1.20m,serie-a
19,Brescia Calcio,,,2520000.0,,33,25.9,,,11,2019,€2.52m,serie-a
1005,US Lecce,,,1110000.0,,47,25.0,,,17,2019,€1.11m,serie-a
